#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,
stack,1,0,1,409.54,89.60,90.00,,,0.50,20,0.00,50,No,-40,1,70,4,50,80,No,No,-40,-40,-40,-40,0,0,0,0,
stack,21,0,123,25.98,42.53,-90.00,402,402/22R,1.90,0,0.00,0,No,-40,1,100,2,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,22,0,1,22.36,50.89,-90.00,402,402/4.7K,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,23,0,1,22.74,64.61,-90.00,402,402/10K,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,24,0,1,22.77,77.81,-90.00,402,402/0.1u,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,93,1,4,150.00,400.00,0.00,,QFN-ML20/MCP23008-E/ML,0.50,0,0.00,0,No,-40,1,100,1,1,150.00,400.00,1,1,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,94,1,4,150.00,400.00,0.00,,DFN65/ESDL031-1BF4,0.50,0,0.00,0,No,-40,1,100,1,1,150.00,400.00,1,1,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,95,1,1,150.00,400.00,0.00,402,,0.50,0,0.00,0,No,-40,1,100,1,1,150.00,400.00,1,1,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,96,1,1,150.00,400.00,0.00,402,,0.50,0,0.00,0,No,-40,1,100,1,1,150.00,400.00,1,1,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,97,1,1,150.00,400.00,0.00,402,,0.50,0,0.00,0,No,-40,1,100,1,1,150.00,400.00,1,1,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,98,1,123,150.00,400.00,0.00,402,,0.50,0,0.00,0,No,-40,1,100,1,1,150.00,400.00,1,1,No,No,-40,-40,-40,-40,-1,-1,0,0,
pcb,Manual,Trace,100,100,324.03,222.64,Front,10,10,0,
mark,Whole,Auto,304.237,176.092,342.674,220.815,
markext,0,0.8,2,1,0,
markext,1,0.8,3,1,0,
test,No,
mirror_create,1,1,291.42,186.14,0,0,110,150,0,
mirror,291.42,185.98,0,No,
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,1,1,zero,10K,402,291.63,186.15,0.00,Yes,
comp,23,1,R25,10K,402,40.68,17.84,0.00,No,
comp,23,1,R24,10K,402,40.68,15.44,180.00,No,
comp,23,1,R23,10K,402,47.40,21.42,90.00,No,
comp,21,2,R22,22R,402,46.70,11.81,90.00,No,
comp,21,3,R21,22R,402,49.24,9.67,0.00,No,
comp,21,1,R20,22R,402,49.23,8.65,0.00,No,
comp,21,2,R19,22R,402,49.23,7.64,0.00,No,
comp,21,3,R18,22R,402,49.25,6.62,0.00,No,
comp,21,1,R17,22R,402,49.25,5.61,0.00,No,
comp,21,2,R16,22R,402,41.39,6.22,0.00,No,
comp,21,3,R15,22R,402,41.39,7.24,0.00,No,
comp,21,1,R14,22R,402,41.38,8.25,0.00,No,
comp,21,2,R13,22R,402,41.37,9.27,0.00,No,
comp,21,3,R12,22R,402,46.84,3.58,270.00,No,
comp,21,1,R11,22R,402,45.83,3.57,270.00,No,
comp,22,1,R10,4.7K,402,44.67,11.80,270.00,No,
comp,22,1,R9,4.7K,402,43.65,11.80,270.00,No,
comp,24,1,C2,0.1u,402,46.26,21.41,90.00,No,
comp,24,1,C1,0.1u,402,45.68,11.81,90.00,No,
comp,0,0,U2,MCP23008-E/ML,QFN-ML20,45.32,7.49,0.00,No,
comp,0,0,D9,ESDL031-1BF4,DFN65,52.15,8.02,0.00,No,
comp,0,0,D5,ESDL031-1BF4,DFN65,52.14,16.77,0.00,No,
comp,0,0,D6,ESDL031-1BF4,DFN65,52.14,15.63,0.00,No,
comp,0,0,D7,ESDL031-1BF4,DFN65,52.15,14.49,0.00,No,
comp,0,0,D2,ESDL031-1BF4,DFN65,52.16,12.20,0.00,No,
comp,0,0,D10,ESDL031-1BF4,DFN65,52.15,9.16,0.00,No,
comp,0,0,D4,ESDL031-1BF4,DFN65,52.14,19.06,0.00,No,
comp,0,0,D3,ESDL031-1BF4,DFN65,52.14,17.92,0.00,No,
comp,0,0,D1,ESDL031-1BF4,DFN65,52.15,11.06,0.00,No,
comp,0,0,D8,ESDL031-1BF4,DFN65,52.16,13.34,0.00,No,
comp,0,0,U1,TMUX1574RSVR,FP-RSV0016A-MFG,45.76,18.08,0.00,No,
comp,0,0,R8,22R,402,48.71,18.53,0.00,No,
comp,0,0,R7,22R,402,48.72,19.55,0.00,No,
comp,0,0,R6,22R,402,46.44,14.98,270.00,No,
comp,0,0,R5,22R,402,48.71,17.52,0.00,No,
comp,0,0,R4,22R,402,42.99,17.12,180.00,No,
comp,0,0,R3,22R,402,42.98,18.14,180.00,No,
comp,0,0,R2,22R,402,42.98,19.16,180.00,No,
comp,0,0,R1,22R,402,45.12,21.41,90.00,No,
comp,0,0,J1,HSEC8-109-01-L-RA,SAMTEC_HSEC8-109-01-L-RA,59.21,12.37,90.00,Yes,
