Altium Designer Pick and Place Locations
Example.csv

========================================================================================================================
File Design Information:

Date:       19/04/23
Time:       11:34
Revision:   4c7a8a6e2e77d43bd6431401
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R25","ERJ-2RKF1002X","TopLayer","RES1005(0402)N","39.7510","18.0340","0","Precision Thick Film Chip Resistors 0402 (1005 Metric) 10k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R24","ERJ-2RKF1002X","TopLayer","RES1005(0402)N","39.7510","15.6210","180","Precision Thick Film Chip Resistors 0402 (1005 Metric) 10k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R23","ERJ-2RKF1002X","TopLayer","RES1005(0402)N","46.4820","21.5900","90","Precision Thick Film Chip Resistors 0402 (1005 Metric) 10k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R22","ERJ-2RKF22R0X","TopLayer","RES1005(0402)N","45.7677","11.9692","90","Precision Thick Film Chip Resistors 0402 (1005 Metric) 22 ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R21","ERJ-2RKF22R0X","TopLayer","RES1005(0402)N","48.3077","9.8102","0","Precision Thick Film Chip Resistors 0402 (1005 Metric) 22 ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R20","ERJ-2RKF22R0X","TopLayer","RES1005(0402)N","48.3077","8.7942","0","Precision Thick Film Chip Resistors 0402 (1005 Metric) 22 ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R19","ERJ-2RKF22R0X","TopLayer","RES1005(0402)N","48.3077","7.7782","0","Precision Thick Film Chip Resistors 0402 (1005 Metric) 22 ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R18","ERJ-2RKF22R0X","TopLayer","RES1005(0402)N","48.3077","6.7622","0","Precision Thick Film Chip Resistors 0402 (1005 Metric) 22 ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R17","ERJ-2RKF22R0X","TopLayer","RES1005(0402)N","48.3077","5.7462","0","Precision Thick Film Chip Resistors 0402 (1005 Metric) 22 ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R16","ERJ-2RKF1002X","TopLayer","RES1005(0402)N","40.4337","6.3812","0","Precision Thick Film Chip Resistors 0402 (1005 Metric) 10k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R15","ERJ-2RKF1002X","TopLayer","RES1005(0402)N","40.4337","7.3972","0","Precision Thick Film Chip Resistors 0402 (1005 Metric) 10k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R14","ERJ-2RKF1002X","TopLayer","RES1005(0402)N","40.4337","8.4132","0","Precision Thick Film Chip Resistors 0402 (1005 Metric) 10k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R13","ERJ-2RKF1002X","TopLayer","RES1005(0402)N","40.4337","9.4292","0","Precision Thick Film Chip Resistors 0402 (1005 Metric) 10k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R12","ERJ-2RKF22R0X","TopLayer","RES1005(0402)N","45.8947","3.7142","270","Precision Thick Film Chip Resistors 0402 (1005 Metric) 22 ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R11","ERJ-2RKF22R0X","TopLayer","RES1005(0402)N","44.8787","3.7142","270","Precision Thick Film Chip Resistors 0402 (1005 Metric) 22 ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R10","ERJ-2RKF4701X","TopLayer","RES1005(0402)N","43.7357","11.9692","270","Precision Thick Film Chip Resistors 0402 (1005 Metric) 4.7k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R9","ERJ-2RKF4701X","TopLayer","RES1005(0402)N","42.7197","11.9692","270","Precision Thick Film Chip Resistors 0402 (1005 Metric) 4.7k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"C2","GCM155R71C104KA55D","TopLayer","CAPC1005X06(0402)N","45.3390","21.5900","90","Chip Multilayer Ceramic Capacitors for Automotive 0402 100nF –55 to 125°C X7R 16Vdc ±10%"
"C1","GCM155R71C104KA55D","TopLayer","CAPC1005X06(0402)N","44.7517","11.9692","90","Chip Multilayer Ceramic Capacitors for Automotive 0402 100nF –55 to 125°C X7R 16Vdc ±10%"
"SW2","GW12LCP","TopLayer","GW12LCP_NKK","35.8140","16.7640","270","No Description Available"
