Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
C13,CAPC1608X06(0603)N,-3.50mm,-7.88mm,T,270,C1608X5R1A106K080AC
C11,CAPC1608X06(0603)N,3.13mm,13.88mm,T,180,C1608X5R1A106K080AC
U5,SOT-23-OT5_M,3.37mm,-13.00mm,T,270,MCP1824T-1802E/OT
U4,QFN50P550X350X60_HS-29N,-2.88mm,2.25mm,T,180,PI2MEQX2505
C4,CAPC1608X06(0603)N,-5.00mm,-1.75mm,T,90,C1608X5R1A106K080AC
LK4,RES1608(0603)N,5.50mm,-4.50mm,T,180,RC0603JR-070RL
LK3,RES1608(0603)N,5.50mm,-0.38mm,T,0,RC0603JR-070RL
C7,CAPC1608X06(0603)N,-4.00mm,7.25mm,T,180,C1608X5R1A106K080AC
C6,CAPC1608X06(0603)N,-3.50mm,-9.62mm,T,270,C1608X5R1A106K080AC
C5,CAPC1608X06(0603)N,-3.50mm,-11.38mm,T,270,C1608X5R1A106K080AC
C10,CAPC1608X06(0603)N,-5.75mm,18.00mm,T,180,C1608X5R1A106K080AC
C12,CAPC1608X06(0603)N,-0.50mm,13.88mm,T,180,C1608X5R1A106K080AC
C2,CAPC1608X06(0603)N,1.38mm,13.88mm,T,0,C1608X5R1A106K080AC
C1,CAPC1608X06(0603)N,-3.63mm,-16.62mm,T,90,C1608X5R1A106K080AC
C8,CAPC1608X06(0603)N,3.25mm,-16.00mm,T,270,C1608X5R1A106K080AC
C9,CAPC1608X06(0603)N,3.37mm,-9.88mm,T,90,C1608X5R1A106K080AC
C3,CAPC1608X06(0603)N,-3.63mm,-20.25mm,T,90,GRM155R61H104KE19D
R6,RES1608(0603)N,5.50mm,23.12mm,T,0,RES chip 0603 10k
R5,RES1608(0603)N,3.88mm,23.12mm,T,0,RES chip 0603 10k
R3,RES1608(0603)N,2.25mm,23.12mm,T,180,RES chip 0603 10k
R1,RES1608(0603)N,-3.63mm,-18.38mm,T,270,RES chip 0603 10k
R2,RES1608(0603)N,0.75mm,18.38mm,T,180,RES chip 0603 10k
R4,RES1608(0603)N,-2.25mm,13.88mm,T,180,RES chip 0603 22R
U1,TCA9406,-3.65mm,-4.40mm,T,90,TCA9406
VR1,SOT23-5,-3.50mm,-14.12mm,T,90,MIC5504-2.8YMS
U3,SOT23-6,3.38mm,18.38mm,T,180,TPS3106E16DBV
SKT4,MOLEX_525592253,2.00mm,-0.00mm,T,180,525592253
U2,SOT23-5,-3.25mm,18.12mm,T,180,SiT2001B
