Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
R25,RES1005(0402)N,100.00mm,200.00mm,T,0,ERJ-2RKF1002X
R24,RES1005(0402)N,100.00mm,197.59mm,T,180,ERJ-2RKF1002X
R23,RES1005(0402)N,106.73mm,203.56mm,T,90,ERJ-2RKF1002X
R22,RES1005(0402)N,106.02mm,193.94mm,T,90,ERJ-2RKF22R0X
R21,RES1005(0402)N,108.56mm,191.78mm,T,0,ERJ-2RKF22R0X
R20,RES1005(0402)N,108.56mm,190.76mm,T,0,ERJ-2RKF22R0X
R19,RES1005(0402)N,108.56mm,189.74mm,T,0,ERJ-2RKF22R0X
R18,RES1005(0402)N,108.56mm,188.73mm,T,0,ERJ-2RKF22R0X
R17,RES1005(0402)N,108.56mm,187.71mm,T,0,ERJ-2RKF22R0X
R16,RES1005(0402)N,100.68mm,188.35mm,T,0,ERJ-2RKF1002X
R15,RES1005(0402)N,100.68mm,189.36mm,T,0,ERJ-2RKF1002X
R14,RES1005(0402)N,100.68mm,190.38mm,T,0,ERJ-2RKF1002X
R13,RES1005(0402)N,100.68mm,191.40mm,T,0,ERJ-2RKF1002X
R12,RES1005(0402)N,106.14mm,185.68mm,T,270,ERJ-2RKF22R0X
R11,RES1005(0402)N,105.13mm,185.68mm,T,270,ERJ-2RKF22R0X
R10,RES1005(0402)N,103.98mm,193.94mm,T,270,ERJ-2RKF4701X
R9,RES1005(0402)N,102.97mm,193.94mm,T,270,ERJ-2RKF4701X
C2,CAPC1005X06(0402)N,105.59mm,203.56mm,T,90,GCM155R71C104KA55D
C1,CAPC1005X06(0402)N,105.00mm,193.94mm,T,90,GCM155R71C104KA55D
SW2,GW12LCP_NKK,96.06mm,198.73mm,T,270,GW12LCP
SW1,GW12LCP_NKK,96.06mm,190.47mm,T,270,GW12LCP
U2,QFN-ML20_L,104.62mm,189.62mm,T,0,MCP23008-E/ML
D9,DFN65P100X55-2N,111.48mm,190.13mm,T,0,ESDL031-1BF4
D5,DFN65P100X55-2N,111.48mm,198.89mm,T,0,ESDL031-1BF4
D6,DFN65P100X55-2N,111.48mm,197.75mm,T,0,ESDL031-1BF4
D7,DFN65P100X55-2N,111.48mm,196.60mm,T,0,ESDL031-1BF4
D2,DFN65P100X55-2N,111.48mm,194.32mm,T,0,ESDL031-1BF4
D10,DFN65P100X55-2N,111.48mm,191.27mm,T,0,ESDL031-1BF4
D4,DFN65P100X55-2N,111.48mm,201.17mm,T,0,ESDL031-1BF4
D3,DFN65P100X55-2N,111.48mm,200.03mm,T,0,ESDL031-1BF4
D1,DFN65P100X55-2N,111.48mm,193.17mm,T,0,ESDL031-1BF4
D8,DFN65P100X55-2N,111.48mm,195.46mm,T,0,ESDL031-1BF4
U1,FP-RSV0016A-MFG,105.09mm,200.21mm,T,0,TMUX1574RSVR
R8,RES1005(0402)N,108.05mm,200.67mm,T,0,ERJ-2RKF22R0X
R7,RES1005(0402)N,108.05mm,201.68mm,T,0,ERJ-2RKF22R0X
R6,RES1005(0402)N,105.76mm,197.11mm,T,270,ERJ-2RKF22R0X
R5,RES1005(0402)N,108.05mm,199.65mm,T,0,ERJ-2RKF22R0X
R4,RES1005(0402)N,102.31mm,199.27mm,T,180,ERJ-2RKF22R0X
R3,RES1005(0402)N,102.31mm,200.29mm,T,180,ERJ-2RKF22R0X
R2,RES1005(0402)N,102.31mm,201.30mm,T,180,ERJ-2RKF22R0X
R1,RES1005(0402)N,104.44mm,203.56mm,T,90,ERJ-2RKF22R0X
J2,FP-D2510-6002-AR-MFG,88.47mm,194.47mm,T,90,D2510-6002-AR
J1,SAMTEC_HSEC8-109-01-L-RA,118.54mm,194.47mm,T,90,HSEC8-109-01-L-RA
