#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,,,,,,,,,,,,,
stack,1,0,1,409.54,89.6,90,,,0.5,20,0,50,No,-40,1,70,4,50,80,No,No,-40,-40,-40,-40,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcb,Manual,Trace,100,100,304.58,333.94,Front,10,10,0,,,,,,,,,,,,,,,,,,,
mark,Whole,Auto,20.00,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,
markext,0,0.8,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,
test,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirror_create,1,1,100.00,130.00,0,0,110.0,150.00,0.0,,,,,,,,,,,,,,,,,,,,
mirror,266.88,138.81,0,No,,,,,,,,,,,,,,,,,,,,,,,,,
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip,,,,,,,,,,,,,,,,,,,,
comp,,,J5,M20-9990846,FP-M20-9990846-MFG,75.0300,47.8250,0,,
comp,,,R13,ERJ-2RKF2490X,RES1005(0402)N,82.8500,45.2000,270,,
comp,,,R12,ERJ-2RKF8661X,RES1005(0402)N,70.1500,45.2750,270,,
comp,,,R11,ERJ-2RKF1001X,RES1005(0402)N,84.9500,45.2000,90,,
comp,,,R10,ERJ-2RKF1001X,RES1005(0402)N,72.2500,45.2750,90,,
comp,,,R9,ERJ-2RKF3243X,RES1005(0402)N,68.7000,45.2500,90,,
comp,,,R8,ERJ-2RKF3243X,RES1005(0402)N,73.7500,45.2750,90,,
comp,,,R7,ERJ-2RKF3243X,RES1005(0402)N,83.9000,45.2000,90,,
comp,,,R6,ERJ-2RKF3243X,RES1005(0402)N,81.3750,45.2000,90,,
comp,,,R5,ERJ-2RKF3243X,RES1005(0402)N,76.2750,45.2750,90,,
comp,,,R4,ERJ-2RKF3243X,RES1005(0402)N,71.2000,45.2750,90,,
comp,,,R3,ERJ-8ENF1801V,RES3216(1206)N,98.1000,45.0500,270,,
comp,,,D15,LED SMALL,LITEON_LED_LTST,98.5250,40.5000,90,,
comp,,,TP,TP_Round_1MM,TP_Round_1MM-Footprint-1,36.9250,54.9500,0,,
comp,,,R2,ERJ-2RKF1001X,RES1005(0402)N,29.2750,55.2750,270,,
comp,,,R1,ERJ-2RKF1001X,RES1005(0402)N,30.9250,55.2750,270,,
comp,,,D14,LED SMALL,LITEON_LED_LTST,29.2750,52.6250,90,,
comp,,,D13,LED SMALL,LITEON_LED_LTST,30.9250,52.6250,90,,
comp,,,U2,LTC4376IDHD#PBF,FP-DHD-16-05-08-1707-IPC_C,92.0000,48.4750,180,,
comp,,,U1,SN74LVC2G07DBVR,DBV0006A_N,34.0000,53.1500,270,,
comp,,,SK2,HEADER 6,HEADER_6,56.5950,43.6500,0,,
comp,,,SK1,FTSH-105-01-F-DV-K,SMTC-FTSH-105-01-L-DV-K_V,56.6500,29.0000,180,,
comp,,,J3,D2510-6002-AR,FP-D2510-6002-AR-MFG,74.4150,35.2250,180,,
comp,,,J4,2834082-1,TE_2834082-1,92.6250,31.7750,0,,
comp,,,J2,D2510-6002-AR,FP-D2510-6002-AR-MFG,39.0000,35.2250,180,,
comp,,,J1,HSEC8-113-01-X-RA,SAMTEC_HSEC8-113-01-X-RA,58.5000,59.9125,180,,
comp,,,D6,ESDL031-1BF4,DFN65P100X55-2N,52.3250,52.2000,90,,
comp,,,D5,ESDL031-1BF4,DFN65P100X55-2N,53.5000,52.2000,90,,
comp,,,D4,ESDL031-1BF4,DFN65P100X55-2N,54.6750,52.2000,90,,
comp,,,D3,ESDL031-1BF4,DFN65P100X55-2N,55.8000,52.2000,90,,
comp,,,D2,ESDL031-1BF4,DFN65P100X55-2N,57.6250,52.2000,90,,
comp,,,D1,ESDL031-1BF4,DFN65P100X55-2N,58.7750,52.2000,90,,
