Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\BS4k_TX_Programmer\Project Outputs for BS4k_TX_Programmer\Pick Place\Pick Place for DEBUGGER_BREAKOUT.csv

========================================================================================================================
File Design Information:

Date:       19/04/23
Time:       12:31
Revision:   4353af574a49e022f4e15f970c9e0233d6450cf2
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J5","M20-9990846","TopLayer","FP-M20-9990846-MFG","75.0300","47.8250","0","2.54mm (0.1") Pitch SIL Vertical PC Tail Pin Header, 6.1mm mating pin height, tin, 8 contacts"
"R13","ERJ-2RKF2490X","TopLayer","RES1005(0402)N","82.8500","45.2000","270","Precision Thick Film Chip Resistors 0402 (1005 Metric) 249 ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R12","ERJ-2RKF8661X","TopLayer","RES1005(0402)N","70.1500","45.2750","270","Precision Thick Film Chip Resistors 0402 (1005 Metric) 8.66k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R11","ERJ-2RKF1001X","TopLayer","RES1005(0402)N","84.9500","45.2000","90","Precision Thick Film Chip Resistors 0402 (1005 Metric) 1k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R10","ERJ-2RKF1001X","TopLayer","RES1005(0402)N","72.2500","45.2750","90","Precision Thick Film Chip Resistors 0402 (1005 Metric) 1k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R9","ERJ-2RKF3243X","TopLayer","RES1005(0402)N","68.7000","45.2500","90","Precision Thick Film Chip Resistors 0402 (1005 Metric) 324k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R8","ERJ-2RKF3243X","TopLayer","RES1005(0402)N","73.7500","45.2750","90","Precision Thick Film Chip Resistors 0402 (1005 Metric) 324k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R7","ERJ-2RKF3243X","TopLayer","RES1005(0402)N","83.9000","45.2000","90","Precision Thick Film Chip Resistors 0402 (1005 Metric) 324k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R6","ERJ-2RKF3243X","TopLayer","RES1005(0402)N","81.3750","45.2000","90","Precision Thick Film Chip Resistors 0402 (1005 Metric) 324k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R5","ERJ-2RKF3243X","TopLayer","RES1005(0402)N","76.2750","45.2750","90","Precision Thick Film Chip Resistors 0402 (1005 Metric) 324k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R4","ERJ-2RKF3243X","TopLayer","RES1005(0402)N","71.2000","45.2750","90","Precision Thick Film Chip Resistors 0402 (1005 Metric) 324k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R3","ERJ-8ENF1801V","TopLayer","RES3216(1206)N","98.1000","45.0500","270","Precision Thick Film Chip Resistors 1206 (3216 Metric) 1.8k ±1% 0.25W, 1/4W ±100ppm/°C -55°C ~ 155°C"
"D15","LED SMALL","TopLayer","LITEON_LED_LTST","98.5250","40.5000","90","LITEON LTST-C193TGKT-5A"
"TP","TP_Round_1MM","TopLayer","TP_Round_1MM-Footprint-1","36.9250","54.9500","0","SM Round 1MM Test point"
"R2","ERJ-2RKF1001X","TopLayer","RES1005(0402)N","29.2750","55.2750","270","Precision Thick Film Chip Resistors 0402 (1005 Metric) 1k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"R1","ERJ-2RKF1001X","TopLayer","RES1005(0402)N","30.9250","55.2750","270","Precision Thick Film Chip Resistors 0402 (1005 Metric) 1k ±1% 0.1W, 1/10W ±100ppm/°C -55°C ~ 155°C"
"D14","LED SMALL","TopLayer","LITEON_LED_LTST","29.2750","52.6250","90","LITEON LTST-C193TGKT-5A"
"D13","LED SMALL","TopLayer","LITEON_LED_LTST","30.9250","52.6250","90","LITEON LTST-C193TGKT-5A"
"U2","LTC4376IDHD#PBF","TopLayer","FP-DHD-16-05-08-1707-IPC_C","92.0000","48.4750","180","OR Controller N-Channel Single 0.03Ohm 16-Pin DFN EP Tube"
"U1","SN74LVC2G07DBVR","TopLayer","DBV0006A_N","34.0000","53.1500","270","Buffer, Non-Inverting 2 Element 1 Bit per Element Open Drain Output SOT-23-6"
"SK2","HEADER 6","TopLayer","HEADER_6","56.5950","43.6500","0","0.1" Pin header 6 way"
"SK1","FTSH-105-01-F-DV-K","TopLayer","SMTC-FTSH-105-01-L-DV-K_V","56.6500","29.0000","180","Conn Unshrouded Header HDR 10 POS 1.27mm Solder ST Top Entry SMD Tube"
"J3","D2510-6002-AR","TopLayer","FP-D2510-6002-AR-MFG","74.4150","35.2250","180","Header LowProfile 4-Wall 0.1Inch HighTemp Straight SMT 10Cnts"
"J4","2834082-1","TopLayer","TE_2834082-1","92.6250","31.7750","0","Conn PC Terminal Block 2 POS 5mm Solder ST Thru-Hole 20A/Contact Box/Carton"
"J2","D2510-6002-AR","TopLayer","FP-D2510-6002-AR-MFG","39.0000","35.2250","180","Header LowProfile 4-Wall 0.1Inch HighTemp Straight SMT 10Cnts"
"J1","HSEC8-113-01-X-RA","TopLayer","SAMTEC_HSEC8-113-01-X-RA","58.5000","59.9125","180","26 Position Female Connector Non Specified - Dual Edge Gold 0.031" (0.80mm) Black"
"D12","ESDL031-1BF4","BottomLayer","DFN65P100X55-2N","57.2500","60.4520","270","TVS DIODE 3.3VWM 7VC DFN1006-2"
"D11","ESDL031-1BF4","BottomLayer","DFN65P100X55-2N","56.1000","60.4520","270","TVS DIODE 3.3VWM 7VC DFN1006-2"
"D10","ESDL031-1BF4","BottomLayer","DFN65P100X55-2N","54.9500","60.4520","270","TVS DIODE 3.3VWM 7VC DFN1006-2"
"D9","ESDL031-1BF4","BottomLayer","DFN65P100X55-2N","53.8000","60.4520","270","TVS DIODE 3.3VWM 7VC DFN1006-2"
"D8","ESDL031-1BF4","BottomLayer","DFN65P100X55-2N","52.6500","60.4520","270","TVS DIODE 3.3VWM 7VC DFN1006-2"
"D7","ESDL031-1BF4","BottomLayer","DFN65P100X55-2N","51.5000","60.4520","270","TVS DIODE 3.3VWM 7VC DFN1006-2"
"D6","ESDL031-1BF4","TopLayer","DFN65P100X55-2N","52.3250","52.2000","90","TVS DIODE 3.3VWM 7VC DFN1006-2"
"D5","ESDL031-1BF4","TopLayer","DFN65P100X55-2N","53.5000","52.2000","90","TVS DIODE 3.3VWM 7VC DFN1006-2"
"D4","ESDL031-1BF4","TopLayer","DFN65P100X55-2N","54.6750","52.2000","90","TVS DIODE 3.3VWM 7VC DFN1006-2"
"D3","ESDL031-1BF4","TopLayer","DFN65P100X55-2N","55.8000","52.2000","90","TVS DIODE 3.3VWM 7VC DFN1006-2"
"D2","ESDL031-1BF4","TopLayer","DFN65P100X55-2N","57.6250","52.2000","90","TVS DIODE 3.3VWM 7VC DFN1006-2"
"D1","ESDL031-1BF4","TopLayer","DFN65P100X55-2N","58.7750","52.2000","90","TVS DIODE 3.3VWM 7VC DFN1006-2"
